Temperature °C,Mols KCL,Size nm^3
469,647,624474.2571
403,694,577961.0286
302,975,619684.7143
779,916,1460449.029
901,18,43257.25714
545,637,712463.4
660,519,700696.0286
143,869,271826.0286
89,461,89198.02857
294,776,477021.0286
991,117,244177.1143
307,781,500645.4571
206,70,31452
437,599,539021.4571
566,75,91852.71429
62,293,39528.82857
331,781,538421.4571
35,149,11484.31429
905,76,148585.0286
227,864,416308.4571
913,66,131596.4571
709,332,482433.2571
626,903,1161365.4
38,163,13603.11429
849,243,424489.1143
899,5,19778.71429
539,725,803035.8571
230,665,321295
396,846,695233.0286
132,777,223961.4
672,802,1104329.257
950,993,1926272.829
367,686,521373.6
598,646,791715.3143
740,299,453954.3143
609,36,51193.02857
929,26,59475.31429
262,800,440629.7143
290,760,460782.8571
297,126,78861.6
986,399,803208.6
178,606,228364.4571
135,818,241597.8286
735,696,1045780.457
183,172,65993.25714
75,379,61854.02857
489,396,397636.4571
617,390,493009.7143
323,176,118457.0286
761,153,242666.8286
942,660,1267189.714
392,157,128496.2571
315,924,610293.6
993,23,57609.11429
808,554,913729.0286
965,721,1417962.6
70,349,53180.02857
172,136,49376.45714
811,386,640081.0286
863,533,938430.8286
316,2,5056.114286
388,907,731992.2571
61,283,37546.25714
580,817,973751.1143
224,732,345933.2571
518,772,823036.1143
695,239,342182.0286
597,583,712977.1143
412,446,378131.3143
134,673,194912.8286
370,883,680136.8286
831,647,1097246.257
234,698,343392.1143
522,753,808596.2571
835,321,549034.0286
885,139,257202.0286
312,398,256621.8286
663,295,401612.4286
488,87,90984.25714
422,750,654135.4286
245,69,36886.02857
291,709,430492.3143
973,875,1736301
335,392,271050.4
880,435,781566.4286
700,332,476349.2571
970,575,1136586.429
846,30,60937.71429
983,433,868430.8286
999,262,537425.2571
238,453,224347.1143
128,804,225829.0286
328,391,264800.0286
933,760,1445858.857
784,188,305201.8286
108,439,101626.3143
86,443,82835.11429
222,136,63576.45714
847,340,589426.8571
363,352,263448.1143
628,474,609299.3143
186,829,330255.4571
636,388,505469.2571
640,255,335937.8571
718,1000,1473187.429
872,131,239418.3143
439,40,40433.71429
675,759,1049209.457
293,466,282796.4571
417,186,161116.4571
239,108,54825.25714
202,787,338068.2571
218,601,274972.0286
92,479,95795.45714
166,479,167575.4571
330,13,12544.82857
281,775,456082.7143
283,637,375531.4
519,353,376202.2571
242,83,43272.82857
3,5,66.71428571
590,246,299089.0286
418,857,742452.2571
379,370,288919.4286
204,29,14304.02857
723,2,11568.11429
650,931,1242864.6
343,172,122953.2571
562,154,180517.6
78,397,67371.11429
397,187,154241.1143
960,637,1246153.4
691,792,1120757.829
1000,600,1222285.714
920,615,1153446.429
790,350,565980
287,600,358129.7143
773,976,1545388.457
209,299,130044.3143
605,90,116391.4286
938,183,355520.8286
423,820,718007.4286
136,89,26066.31429
584,52,67821.25714
333,519,357346.0286
475,649,634284.3143
610,678,847613.8286
386,242,193129.2571
8,19,410.3142857
679,711,988129.4571
541,804,894889.0286
464,18,22281.25714
619,285,362578.7143
616,440,555003.4286
813,887,1474497.114
324,359,240202.3143
948,507,979992.2571
822,15,34530.42857
413,386,328049.0286
830,695,1177460.714
797,116,194852.4571
778,573,910304.8286
270,960,547971.4286
587,422,507560.1143
715,687,1004474.829
208,552,240833.8286
556,953,1092356.829
94,491,100324.0286
37,157,12766.25714
714,373,545187.1143
52,239,27112.02857
521,161,174754.6
149,25,9255.857143
664,957,1305031.114
7,17,330.2571429
861,216,383617.0286
365,293,220722.8286
162,881,309564.0286
621,569,723400.3143
739,406,613645.6
395,771,630814.0286
805,87,149946.2571
461,125,121228.4286
689,500,704410.8571
980,277,556872.2571
5,11,173.4571429
637,520,677849.7143
498,788,808565.2571
463,656,625307.3143
705,385,555545
600,874,1077825.029
780,314,502017.0286
430,560,495720
794,497,805821.4
699,236,339907.3143
959,786,1536707.314
717,887,1303041.114
